tau1,tau2,rmse,ratio_small,ratio_lm,ratio_fusion,est_cost,rmse_norm,cost_norm,score
0.55,0.02,14.1193208694458,0.49872854418308965,0.5012714558169103,0.003178639542275906,8.288486967577876,0.3519544705706155,0.6394971613949716,0.4957258159827935
0.55,0.04,14.125202178955078,0.49872854418308965,0.5012714558169103,0.002860775588048315,8.288486967577876,0.36092163942006394,0.6394971613949716,0.5002094004075177
0.55,0.06,14.125616073608398,0.49872854418308965,0.5012714558169103,0.0025429116338207248,8.288486967577876,0.36155270011094454,0.6394971613949716,0.500524930752958
0.55,0.08,14.125616073608398,0.49872854418308965,0.5012714558169103,0.0025429116338207248,8.288486967577876,0.36155270011094454,0.6394971613949716,0.500524930752958
0.55,0.1,14.125616073608398,0.49872854418308965,0.5012714558169103,0.0025429116338207248,8.288486967577876,0.36155270011094454,0.6394971613949716,0.500524930752958
0.55,0.12,14.140212059020996,0.49872854418308965,0.5012714558169103,0.0022250476795931343,8.288486967577876,0.3838070408342797,0.6394971613949716,0.5116521011146257
0.55,0.14,14.140212059020996,0.49872854418308965,0.5012714558169103,0.0022250476795931343,8.288486967577876,0.3838070408342797,0.6394971613949716,0.5116521011146257
0.55,0.16,14.140212059020996,0.49872854418308965,0.5012714558169103,0.0022250476795931343,8.288486967577876,0.3838070408342797,0.6394971613949716,0.5116521011146257
0.55,0.18,14.140212059020996,0.49872854418308965,0.5012714558169103,0.0022250476795931343,8.288486967577876,0.3838070408342797,0.6394971613949716,0.5116521011146257
0.55,0.2,14.140212059020996,0.49872854418308965,0.5012714558169103,0.0022250476795931343,8.288486967577876,0.3838070408342797,0.6394971613949716,0.5116521011146257
0.6,-0.2,14.123298645019531,0.4551811824539097,0.5448188175460903,0.013350286077558804,8.921665607120152,0.3580193418647698,0.6950527169505272,0.5265360294076484
0.6,-0.18,14.117691040039062,0.4551811824539097,0.5448188175460903,0.012714558169103624,8.921665607120152,0.3494694873431618,0.6950527169505272,0.5222611021468445
0.6,-0.16,14.134385108947754,0.4551811824539097,0.5448188175460903,0.01112523839796567,8.921665607120152,0.3749227532276428,0.6950527169505272,0.534987735089085
0.6,-0.14,14.14426326751709,0.4551811824539097,0.5448188175460903,0.010171646535282899,8.921665607120152,0.38998387450907407,0.6950527169505272,0.5425182957298006
0.6,-0.12,14.149481773376465,0.4551811824539097,0.5448188175460903,0.009218054672600126,8.921665607120152,0.3979404738189786,0.6950527169505272,0.5464965953847529
0.6,-0.1,14.151524543762207,0.4551811824539097,0.5448188175460903,0.008264462809917356,8.921665607120152,0.40105506368042154,0.6950527169505272,0.5480538903154744
0.6,-0.08,14.164009094238281,0.4551811824539097,0.5448188175460903,0.007310870947234584,8.921665607120152,0.4200901224461308,0.6950527169505272,0.557571419698329
0.6,-0.06,14.156338691711426,0.4551811824539097,0.5448188175460903,0.006675143038779402,8.921665607120152,0.4083951428683599,0.6950527169505272,0.5517239299094435
0.6,-0.04,14.156338691711426,0.4551811824539097,0.5448188175460903,0.006675143038779402,8.921665607120152,0.4083951428683599,0.6950527169505272,0.5517239299094435
0.6,-0.02,14.165582656860352,0.4551811824539097,0.5448188175460903,0.006039415130324221,8.921665607120152,0.4224893163169902,0.6950527169505272,0.5587710166337587
0.6,0.0,14.181818008422852,0.4551811824539097,0.5448188175460903,0.00572155117609663,8.921665607120152,0.4472431808366934,0.6950527169505272,0.5711479488936103
0.6,0.02,14.184053421020508,0.4551811824539097,0.5448188175460903,0.00540368722186904,8.921665607120152,0.4506514901902052,0.6950527169505272,0.5728521035703662
0.6,0.04,14.189908027648926,0.4551811824539097,0.5448188175460903,0.0050858232676414495,8.921665607120152,0.45957794544669356,0.6950527169505272,0.5773153311986103
0.6,0.06,14.190320014953613,0.4551811824539097,0.5448188175460903,0.004767959313413859,8.921665607120152,0.46020609802379125,0.6950527169505272,0.5776294074871592
0.6,0.08,14.190320014953613,0.4551811824539097,0.5448188175460903,0.004767959313413859,8.921665607120152,0.46020609802379125,0.6950527169505272,0.5776294074871592
0.6,0.1,14.188373565673828,0.4551811824539097,0.5448188175460903,0.004132231404958678,8.921665607120152,0.4572383679083828,0.6950527169505272,0.576145542429455
0.6,0.12,14.202906608581543,0.4551811824539097,0.5448188175460903,0.003814367450731087,8.921665607120152,0.47939674087688355,0.6950527169505272,0.5872247289137054
0.6,0.14,14.202906608581543,0.4551811824539097,0.5448188175460903,0.003814367450731087,8.921665607120152,0.47939674087688355,0.6950527169505272,0.5872247289137054
0.6,0.16,14.202906608581543,0.4551811824539097,0.5448188175460903,0.003814367450731087,8.921665607120152,0.47939674087688355,0.6950527169505272,0.5872247289137054
0.6,0.18,14.202906608581543,0.4551811824539097,0.5448188175460903,0.003814367450731087,8.921665607120152,0.47939674087688355,0.6950527169505272,0.5872247289137054
0.6,0.2,14.202906608581543,0.4551811824539097,0.5448188175460903,0.003814367450731087,8.921665607120152,0.47939674087688355,0.6950527169505272,0.5872247289137054
0.65,-0.2,14.279173851013184,0.41767323585505406,0.582326764144946,0.02066115702479339,9.467031150667514,0.5956805785983182,0.742903487429035,0.6692920330136767
0.65,-0.18,14.273484230041504,0.41767323585505406,0.582326764144946,0.019707565162110616,9.467031150667514,0.5870056751840472,0.742903487429035,0.6649545813065412
0.65,-0.16,14.293039321899414,0.41767323585505406,0.582326764144946,0.017482517482517484,9.467031150667514,0.6168211117428181,0.742903487429035,0.6798622995859265
0.65,-0.14,14.301717758178711,0.41767323585505406,0.582326764144946,0.01621106166560712,9.467031150667514,0.6300530294548304,0.742903487429035,0.6864782584419327
0.65,-0.12,14.306446075439453,0.41767323585505406,0.582326764144946,0.014621741894469168,9.467031150667514,0.63726224352254,0.742903487429035,0.6900828654757876
0.65,-0.1,14.308465957641602,0.41767323585505406,0.582326764144946,0.013668150031786395,9.467031150667514,0.6403419360185887,0.742903487429035,0.6916227117238118
0.65,-0.08,14.320813179016113,0.41767323585505406,0.582326764144946,0.012714558169103624,9.467031150667514,0.6591676105919321,0.742903487429035,0.7010355490104836
